#NAME?,পর
#NAME?,পর
#NAME?,পর
a,একটি
ambuscade,অতর্কিত আক্রমণার্থ গোপনে অবস্থান
ambuscaded,অতর্কিত আক্রমণার্থ গোপনে অবস্থান করান
ambuscades,অতর্কিত আক্রমণার্থ গোপনে অবস্থান করান
ambuscading,অতর্কিত আক্রমণার্থ গোপনে অবস্থান করান
ambush,ত্তৎ পাতা
ambushed,অতর্কিতে আক্রমণ
ambushers,উৎপাদন কমলে
ambushes,অতর্কিত আক্রমণার্থ গোপনে অবস্থান করান
ambushing,অতর্কিত আক্রমণার্থ গোপনে অবস্থান করান
ameba,জীবাণুবিশেষ
amebae,জীবাণুবিশেষ
amebas,জীবাণুবিশেষ
amebic,জীবাণুঘটিত
ameer,আমির
ameers,আমির
ameliorate,উন্নত করা
ameliorated,উন্নতিবিধান করা
ameliorates,উন্নতিবিধান করা
ameliorating,লাঘবে
amelioration,উন্নতি
ameliorations,উন্নত বৈশিষ্ট্য
ameliorative,উন্নতিসাধক
amen,তথাস্তু
amenabilities,দায়িত্ব
amenability,নম্রতা
amenable,এক্তিয়ারভুক্ত
amenableness,দায়বদ্ধতা
amend,সংশোধন করা
amended,সংশোধিত
amending,সংশোধন করা
amendment,সংশোধনী
amendments,সংশোধনী
amends,ক্ষতিপূরণ
amenities,সুযোগ
amenity,বিনয়
amenorrhea,বাধক
amenorrheas,বাধক
amenorrhoea,বাধক
amenorrhoeas,বাধক
amentia,বুদ্ধির জড়তা
amerce,জরিমানা করা
amerced,জরিমানা করা
amercement,অর্থদণ্ড
amercements,দণ্ড
amerces,জরিমানা করা
amercing,জরিমানা করা
america,আমেরিকা
american,আমেরিকান
americans,আমেরিকান
americas,আমেরিকা
americium,কৃত্রিম তেজস্ক্রিয় ধাতব উপাদান
amethyst,নীলা
amethystine,বেগুনী - রক্তাভ
amethysts,পান্নাজাতয়ি মণিবিশেষ
ami,বন্ধু
amiability,সৌজন্য
amiable,বন্ধুভাবাপন্ন
amiableness,সুশীলতা
amiably,অমায়িকভাবে
amicability,সৌজন্য
amicable,বন্ধুত্বপূর্ণ
amicably,আপসে
amice,বন্ধুসুলভ
amici,বন্ধুদের সাথে
amicus,বন্ধু
amid,মধ্যে
amidol,আরও শব্দকোষ
amidship,জাহাজের মধ্যাংশে
amidships,জাহাজের মধ্যাংশে
amidst,অন্তরে
amie,বান্ধবী
amiga,আমিগা
amigas,কাছে পরিচিত করানো
amin,আমিন
amine,অ্যামাইন
amino,অ্যামিনো
amir,আমির
amirate,আমিরি
amirates,আমিরি
amirs,ফয়সালাই
amiss,পথভ্রষ্ট
amities,বন্ধুত্ব
amitriptyline,সিংহাসন
amity,বন্ধুত্ব
amla,আমলা
amman,আম্মান
ammans,আম্মান
ammeter,বিদ্যুপ্রবাহ - পরিমাপন যন্ত্র
ammeters,সম্পত্তির ব্যবস্থাপনা বিভাগ
ammo,গোলাবারুদ
ammon,অম্মোনীয়দের
ammonia,হাইড্রোজেন ত্ত নাইট্রোজেন গ্যাসের মিলনে গ্যাসীয়
ammonias,অ্যামোনিয়া
ammonical,অ্যামোনিয়াম
ammonite,অম্মোনীয়দের
ammonites,অম্মোনীয়দের
ammonium,অ্যামোনিয়াম
ammunition,গুলি
ammunitions,গোলাবারুদ
amnesia,স্মৃতিভ্রংশ
amnesiac,স্মৃতিভ্রষ্ট
amnesias,স্মৃতিবিলোপ
amnestied,দায়ী করা
amnesties,তানিম
amnesty,রাজক্ষমা
amniotic,অ্যামনিয়টিক
amoeba,অ্যামিবা
amoebae,জীবাণুবিশেষ
amoebas,জীবাণুবিশেষ
amoebic,জীবাণুঘটিত
amok,ক্ষিপ্তবৎ
amomum,বড়ো
among,মধ্যে
amongst,মধ্যে
amongst them,তন্মধ্যে
amoral,অনৈতিক
amoralities,নীতিহীনতা
amorality,নীতিহীনতা
amorous,কামার্ত
amorousness,প্রেমাকুলতা
amorphous,নিরাকার
amorphousness,অনিয়তাকারতা
amortisation,ঘাত - শোষণ
amortisations,ঘাত-শোষণ
amortise,পরিচালকসংঘের হাতে দেত্তয়া
amortised,amortized
amortises,পরিচালকসংঘের হাতে দেত্তয়া
amortising,পরিচালকসংঘের হাতে দেত্তয়া
amortizable,তথ্যপ্রযুক্তির
amortization,ঘাত - শোষণ
amortizations,ঘাত-শোষণ
amortize,পরিচালকসংঘের হাতে দেত্তয়া
amortized,পরিচালকসংঘের হাতে দেত্তয়া
amortizes,পরিচালকসংঘের হাতে দেত্তয়া
amortizing,নিকট অর্পণের
amount,পরিমাণ
amounted,বেড়ে ত্তঠা
amounter,পরিমাণ
amounting,বেড়ে ত্তঠা
amounts,পরিমাণে
amour,পিরিত
amour-propre,অভিমান
amourette,নটঘট
amours,প্রণয়
amoxicillin,এমোক্সিসিলিন
amp,রহমান
ampere,বিদ্যুত্প্রবাহের একক
amperes,বিদ্যুত্প্রবাহের একক
amphetamine,অ্যাম্ফিটামিন
amphibia,উভচর
amphibian,উভচর
amphibians,অ্যামফিবিআনস
amphibious,উভচর
amphibole,এম্ফিবোল
amphibolies,দ্ব্যর্থক বাক্য
amphibologies,দ্ব্যর্থক বাক্যাংশ
amphibology,দ্ব্যর্থক বাক্য
amphiboly,দ্ব্যর্থক বাক্য
amphiphile,এম্ফিলিন
amphitheater,অ্যামি্পথিয়েটার
amphitheaters,অ্যামি্পথিয়েটার
amphitheatre,অ্যামি্পথিয়েটার
amphitheatres,অ্যামি্পথিয়েটার
ampicillin,এম্পিসিলিন
amping,amping করার দক্ষতা
ample,প্রশস্ত
ampleness,প্রশস্ততা
ampler,প্রশস্ত
amplest,প্রশস্ত
amplification,বিকাস
amplifications,বিকাস
amplified,ছড়িয়ে
amplifier,পরিবর্ধক
amplifiers,পরিবর্ধক
amplifies,প্রশস্ততা
amplify,প্রশস্ত করা
amplifying,বর্ধিত করা
amplitude,প্রশস্ততা
amplitudes,প্রশস্ততা
amply,পর্যাপ্তভাবে
ampoule,এম্পুল
ampoules,এম্পুল
ampulla,রহমান
amputate,কেড়ে নেত্তয়া
amputated,কর্তিত
amputates,কেড়ে নেত্তয়া
amputating,কেড়ে নেত্তয়া
amputation,অঙ্গচ্ছেদ
amputations,অঙ্গচ্ছেদ
amrit,অমৃত
amrita,অমৃত"
amritsar,অমৃতসর
amu,আমু
amuck,ক্ষিপ্তবৎ
amulet,মাদুলি
amulets,মন্ত্রপূত রক্ষাকবচ
amuse,হাসানো
amused,আমোদিত
amusedly,শুধু কালের
amusement,পরিতৃপ্তি
amusements,আমোদপ্রমোদ
amuses,মাতিয়ে রাখা
amusing,মজাদার
amygdala,এমিগডালা
amyotrophic,অ্যামায়োট্রফিক ল্যাটেরাল
an,একটি
an irony of fate,ভাগ্যের পরিহাস
an open question,বিতর্কের বিষয়
an uneventful life,স্বচ্ছন্দ
an unusual occurrence,বিরল ঘটনা
ana,বাণীসংগ্রহ
anabaptism,খ্রিস্টধর্মনুযায়ী (শৈশবে ও প্রাপ্ত বয়সে) দুইবার পূত বারিদ্বারা অভিসিঞ্চন করার মতবাদ
anabaptist,খ্রিস্টধর্মনুযায়ী (শৈশবে ও প্রাপ্ত বয়সে) দুইবার পূত বারিদ্বারা অভিসিঞ্চন করার মতানুযায়ী
anabolic,এনাবলিক
anabolism,উপচিতি
anabolisms,উপচিতি
anacardium,কাজু
anachorism,স্থানীয় ব্যবস্থা
anachronism,কালবৈষম্য
anachronisms,কালব্যতিক্রম
anacoluthon,বাক্যের পদবিন্যাসে পারস্পর্যহীনতা
anaconda,anaconda দ্বারা
anacondas,বড় অজগর সাপ
anadromous,এ্যানাড্রমাস
anaemia,রক্তাল্পতা
anaemias,রক্তাল্পতা
anaemic,রক্তহীন
anaerobe,মুক্ত অক্সিজেন না পাইয়াত্ত বাঁচিতে
anaerobes,মুক্ত অক্সিজেন না পাইয়াত্ত বাঁচিতে
anaerobic,অবাত
anaesthesia,অবেদন
anaesthesias,অবেদন
anaesthesiology,অ্যানেস্থেসিওলজি
anaesthetic,অবেদনিক
anaesthetics,anesthetics
anaesthetised,অসার
anaesthetising,গ্রন্থি সুস্থ ও সক্রিয়
anaesthetist,অবেদনিক প্রযোগকারী
anaesthetists,anesthetists
anaesthetize,অসাড় করা
anaesthetized,অসাড় করা
anaesthetizes,অসাড় করা
anaesthetizing,অসাড় করা
anagnorises,নাটকের চরম পরিণতি
anagnorisis,নাটকের চরম পরিণতি
anagram,এক বাক্যাংশের বর্ণসমূহের স্থানপরিবর্তনদ্বারা ভিন্ন শব্দ গঠন
anagrams,এক শব্দের বর্ণসমূহের স্থানপরিবর্তন দ্বারা ভিন্ন শব্দ গঠন
anal,পায়ুসংক্রান্ত
analecta,সাহিত্যের টুকিটাকি সংগ্রহ
analects,সাহিত্যের টুকিটাকি সংগ্রহ
analgesia,বেদনাবোধহীনতা
analgesias,বেদনাবোধহীনতা
analgesic,বেদনানাশক
analgesics,বেদনানাশক ঔষধ
analog,এনালগ
analogical,সাদৃশ্যমূলক
analogical knowledge,উপমিতি
analogies,অ্যানালজিস
analogism,সাদৃশ্যভিত্তিক যুক্তিপ্রয়োগনীতি
analogist,সাদৃশ্যবাদী
analogize,উপমা টানা
analogized,খিলাফা
analogon,এনালগ
analogous,অনুরূপ
analogously,অনুরূপভাবে
analogs,সহধর্মীদের
analogue,অনুরূপ উদাহরণ
analogues,সদৃশ উদাহরণ
analogy,উপমা
analysable,বিশ্লেষণযোগ্য
analysand,সিরিয়াল
analyse,বিশ্লেষণ করা
analysed,বিশ্লেষণ
analyser,বিশ্লেষক
analysers,বিশ্লেষক
analyses,বিশ্লেষণ
analysing,বিশ্লেষণ
analysis,বিশ্লেষণ
analyst,বিশ্লেষক
analysts,বিশ্লেষকরা
analytic,বিশ্লেষণমূলক
analytical,বিশ্লেষণাত্মক
analytics,বৈশ্লেষিক ন্যায়
analyze,বিশ্লেষণ করা
analyzed,বিশ্লেষণ
analyzer,বিশ্লেষক
analyzers,বিশ্লেষক
analyzes,বিশ্লেষণ
analyzing,বিশ্লেষণ
anamneses,স্মরণ
anamnesis,মনে পড়া
ananas,আনারস
anapaest,তিনমাত্রাযুক্ত বিশেষ একটি ছন্দ - পর্ব যার প্রথম দুটি মাত্রা হ্রস্ব ও তৃতীয়টি দীর্ঘ
anapests,দিনভর ঝিমুনি
anaphase,অ্যানাফেজ
anarchic,অরাজক
anarchical,অরাজক
anarchies,দেইনি
anarchism,নৈরাজ্যবাদ
anarchisms,নৈরাজ্যবাদ
anarchist,নৈরাজ্যবাদী
anarchistic,নৈরাজ্যবাদী
anarchists,নৈরাজ্যবাদীরা
anarchy,অরাজকতা
anas,আনাস
anastomosis,নির্দিষ্ট Anastomosis
anata,আনাটা
anathema,অভিশাপ
anathemas,অভিশাপ
anathemata,অভিশাপ
anathematize,অভিশাপ দেত্তয়া
anathematized,অভিশাপ দেত্তয়া
anathematizes,অভিশাপ দেত্তয়া
anathematizing,অভিশাপ দেত্তয়া
anatomical,শারীর
anatomies,শারীরস্থান
anatomise,দেহব্যবচ্ছেদ করা
anatomist,শারীরস্থানবিৎ
anatomists,শারীরস্থানবিৎ
anatomize,সূক্ষ্ম বিশ্লেষণ করা
anatomized,অঙ্গব্যবচ্ছেদ করা
anatomizes,অঙ্গব্যবচ্ছেদ করা
anatomizing,অঙ্গব্যবচ্ছেদ করা
anatomy,শারীরস্থান
ancestor,পূর্বপুরুষ
ancestored,পূর্বসূরী
ancestoring,পূর্বসূরী
ancestors,পূর্বপুরুষ
ancestral,পৈতৃক
ancestries,পূর্বপুরুষগণ
ancestry,পূর্বপুরুষগণ
anchor,নোঙর
anchorage,ভরসাস্থল
anchorages,নঙ্গর বাঁধা
anchored,প্রভুভক্ত
anchoret,বৈরাগী
anchorets,বৈরাগী
anchoring,নোঙ্গরকরণ
anchorite,সন্ন্যাসী
anchorites,সন্ন্যাসী
anchorman,সমন্বয়কারী
anchorperson,যৌনকর্মীদের
anchorpersons,বড়
anchors,নোঙ্গর
anchorwoman,সেগুলি টাইপ
anchovies,হেরিং-জাতীয় ক্ষুদ্র মত্স্যবিশেষ
anchovy,হেরিং - জাতীয় ক্ষুদ্র মত্স্যবিশেষ
ancient,প্রাচীন
ancient times,সেকাল
ancienter,প্রাচীন
ancientest,প্রাচীন
anciently,প্রাচীনকালে
ancientness,প্রাচীনতা
ancients,প্রাচীনকালের লোক
ancilla,হস্তনির্মিত
ancillaries,আনুষঙ্গিক বস্তু
ancillary,সহায়ক
ancle,গুলফ
ancon,বন্ধনী
ancora,নোঙ্গর
and,এবং
and no mistake,নিঃসন্দেহে
and the like,ঐ জাতীয়
and what more,এ ছাড়াও
andaman,আন্দামান
anded,এবং
andes,এবং
andesite,আন্ডেসাইট
andhra,অন্ধ্র
anding,এবং
androecium,এন্ড্রসিয়াম
androgen,প্রাণীদেহে উত্পন্ন যে রাসায়নিক রক্তের সংগে মিশে পুরুষদেহের বৈশিষ্ট্যকে প্রকটতর করে ও বজায় রাখে
androgens,ডিম্বানালীতে
androgyne,উভলিঙ্গ
androgynes,উভলিঙ্গ
androgynous,উভলিঙ্গ
android,অ্যান্ড্রয়েড
ands,এবং
anecdotal,অকল্পনীয়
anecdote,কাহিনী
anecdotes,চুটকি মিশিয়ে
anecdotic,কাহিনী - সংক্রান্ত
anecdotical,কাহিনী - সংক্রান্ত
anemia,রক্তাল্পতা
anemias,রক্তাল্পতা
anemic,রক্তহীন
anemograph,বায়ুমানযন্ত্র
anemographs,বায়ুমানযন্ত্র
anemometer,বায়ুমানযন্ত্র
anemometers,বায়ুমানযন্ত্র
anemone,একজাতীয় বনফুল
anemones,বায়ুপরাগী পুষ্পবিশেষ
anemophily,এনিমোফিলি
anerobe,মুক্ত অক্সিজেন না পাইয়াত্ত বাঁচিতে
anes,একটি
anesthesia,অবেদন
anesthesias,অবেদন
anesthesiology,অ্যানেস্থেসিওলজি
anesthetic,অবেদনিক
anesthetics,অনুভূতিনাশক
anesthetist,অবেদনিক প্রযোগকারী
anesthetists,অবেদনিক প্রযোগকারী
anesthetize,অসাড় করা
anesthetized,অসার
anesthetizes,অসাড় করা
anesthetizing,অসাড় করা
anew,নতুনভাবে
anfractuous,আঁকাবাঁকা
anga,অঙ্গ
anganwadi,অঙ্গনওয়াড়ী
angaria,আঙ্গারিয়া
angary,যুদ্ধের প্রয়োজনে যুধ্যমান জাতির নিরপেক্ষ দেশের সম্পত্তি (ক্ষতিপূরণ দিয়া) দখলপূর্বক ব্যবহার বা ধ্বংশ করার অধিকার
angel,দেবদূত
angeled,দেবদূত
angeles,ফেরেশতাগণ
angelhood,দেবদূতত্ব
angelic,দেবদূতোপম
angelica,রাঁধায় ত্ত ঔষধে ব্যবহৃত সুগন্ধী লতাবিশেষ
angelical,দেবদূতসংক্রান্ত
angelicas,রাঁধায় ত্ত ঔষধে ব্যবহৃত সুগন্ধী লতাবিশেষ
angeling,দেবদূত
angels,ফেরেশতাগণ
angelus,ক্যাথলিক সম্প্রদায়ের মধ্যে খ্রিস্টের অবতাররূপে আবির্ভাবের স্মরণে ভক্তিগীতি
anger,রাগ
angered,কুপিত
angering,ক্রুদ্ধ করান
angers,ক্রুদ্ধ করান
angina,কণ্ঠনালীপ্রদাহ
anginas,কণ্ঠনালীপ্রদাহ
angiograms,শর্তে
angioplasty,পুষ্টির চাহিদা
angiosperm,অ্যাঞ্জিওস্পার্ম
angle,কোণ
angle of vision,দৃষি্টভঙ্গি
angled,কোণবিশিষ্ট
angler,যে ছিপ দিয়ে মাছ ধরে
angles,কোণ
angleworm,কীড়া
angleworms,কীড়া
anglican,বিলাতী
anglice,আছে ইংরেজিতে
anglicism,ইংরেজজাতির বৈশিষ্ট্য
anglicisms,ইংরেজজাতির বৈশিষ্ট্য
anglicist,ইংরেজী ভাষা বা সাহিত্যে পারদর্শী ব্যক্তি
anglicize,ইংরেজ চরিত্র বা রূপ দেওয়া
anglicized,ইংরেজদের অনুরূপ করা
anglicizes,ইংরেজদের অনুরূপ করা
anglicizing,ইংরেজদের অনুরূপ করা
angling,ছিপ দিয়ে মাছ ধরা বা মাছ ধরার পদ্ধতি
anglo,এংলো
anglomania,ইংরেজিপনা
anglomanias,ইংজের-প্রীতির বাতিক
anglophilia,ইংরেজপ্রীতি
anglophobia,ইঙ্গ - ভীতি
anglophone,অ্যাগ্লোফোন
angola,অ্যাঙ্গোলা
angolan,অ্যাঙ্গোলীয়
angora,আংকারা - দেশীয় ছাগ
angoras,আংকারা-দেশীয় ছাগ
angrier,ক্রুদ্ধ
angries,ক্রুদ্ধ
angriest,অমুসলিম ভূমিতে বসবাসকারীদের
angrily,ক্রুদ্ধ
angry,ক্রুদ্ধ
angry roar,তর্জন
angry shout,তর্জন
angst,উদ্বেগ
angstrom,সামাজিক মর্যাদাও একই পর্যায়ের
anguilla,অ্যাঙ্গুইল্লা
anguine,সর্পের
anguish,যন্ত্রণা
anguished,বেদনাময়
anguishes,যন্ত্রণা
anguishing,ক্রমশ: একাকী
angular,কৌণিক
angularities,সরকারদলীয়
angularity,গোল
anhydrous,নির্জল
anicca,যিনি অনুরূপভাবে আচরণ
anil,নীলের চারা
anile,বুড়ির মত
anilin,পূর্বে নীল হতে এবং বর্তমানে আলকাতরা হতে প্রাপ্ত রাসায়নিক রঞ্জক পদার্থবিশেষ
aniline,রঞ্জক পদার্থ
anility,বৃদ্ধাবস্থা
anils,নীলের চারা
animadversion,নিন্দা
animadversions,নিন্দা
animadvert,নিন্দা করা
animadverted,নিন্দিত
animadverter,নিন্দুক
animadverters,নিন্দক
animadverting,সমালোচনা করা
animadverts,সমালোচনা করা
animal,পশু
animal fat,জান্তব চর্বি
animal skin,পশুচর্ম
animal spirit,সজীবতা
animalism,পাশবতা
animalities,পশুত্ব
animality,পশুত্ব
animally,কি দেখেননি
animals,প্রাণী
animate,সজীব
animated,প্রাণবন্ত
animated cartoon,ব্যঙ্গচিত্র আঁকা
animater,প্রাণসঞ্চার
